video_id,title,published_at,likes,view_count,comment_count,comment_text
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,รายอนี้เจอกัน
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,Bahasa Thailand❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,Saya lihat postingan I-DA pakai lagu kampung halamanku.
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,Salam dari Kota Tanjungbalai Provinsi Sumatera Utara Indonesia.
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤🎉😊😢
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,😍😍❤❤❤❤❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,ธีาะภา❤😂🎉❤❤🎉❤ีัด้่ภด้❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,สุขสันต์วันรายอครับ อาแบร์ เก่ากลับ
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,"บ้านเธออยู่บ้านเก่ากับอยู่ไหนหรอาะีา😊❤❤🎉🎉🎉🎉😮😮 1:16 1:17 1:18 1:18 ,*4฿_&__&&&"
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,เเบเกากับFC นะคะฟังทุกเพลงเลยค่ะร้องทุกวันเลยหนูเคยเจอพี่บ่อยเลยนะพี่เรียนโรงเรียนเดียวกับพี่หนูโรงเรียนธรรมวิทยามูลนิธิโรงเรียนที่หนูที่หนูชื่อฮาฟิตสิเดะค่ะเเบเกากับหนูชื่อนาดา❤😊🎉
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤❤ด.ช.อาลีฟ     อาแด2/2      5-ปี
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤❤❤❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,2:37
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,บอะบอะบอะ
O54EsrJ7Nc0,&quot;Indahnya Hari Raya &quot; - Kaukab : AYAMBANG RECORD  【Official MV】#kaukab,2024-03-25T09:27:56Z,14472,3700582,351,❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊นูรอัยรีน
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Sumpah sedap sangat lagu ni aku rate inviniti 😊😊
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Best lagu dato siti ❤
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,SEHLAMAT RAYA EE AIDIL ADHA..🎉😂❤
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,"Siti Nurhaliza is the best, cantik dan semua lagunya sangat enak didengar."
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Halo maaf telat
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,"Beratus Kali aku ulng tak bosan"" musik dia meyntuh kalbu😢"
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Salam 25 Syawal 1446
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,2025 hadir
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Hahaha
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,❤
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,♥️💛💚💙💜🤎🖤🤍💘💝💖💗💓💞💕💌💟♥️❣️❤️‍🩹
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,❤🎉😢
